,Rank,Company,Industry,Address,City,State / Country,Postal Code,Country,"Revenue (in millions, USD)",Employees,Ticker,Website,CEO
11,12,Exxon Mobil,Petroleum Refining,5959 Las Colinas Blvd.,Irving,Texas,75039,U.S.,"$285,640",63000,XOM,www.exxonmobil.com,Darren W. Woods
12,13,Toyota Motor,Motor Vehicles & Parts,1 Toyota-cho,Toyota,Japan,471-8571,Japan,"$279,338",372817,TM,www.global.toyota/en/,
13,14,Berkshire Hathaway,Insurance: Property and Casualty (Stock),3555 Farnam St.,Omaha,Nebraska,68131,U.S.,"$276,094",372000,BRKA,www.berkshirehathaway.com,Warren E. Buffett
14,15,Shell,Petroleum Refining,Shell Center,London,Britain,SE1 7NA,Britain,"$272,657",82000,SHEL,www.shell.com,Ben Van Beurden
15,16,McKesson,Wholesalers: Health Care,6555 State Hwy. 161,Irving,Texas,75039,U.S.,"$263,966",66500,MCK,www.mckesson.com,Brian S. Tyler
16,17,Alphabet,Internet Services and Retailing,1600 Amphitheatre Pkwy.,Mountain View,California,94043,U.S.,"$257,637",156500,GOOGL,www.abc.xyz,Sundar Pichai
17,18,Samsung Electronics,"Electronics, Electrical Equip.",129 Samsung-ro,"Suwon, Gyeonggi-do",South Korea,16677,South Korea,"$244,335",266673,,www.samsung.com,
18,19,Trafigura Group,Trading,10 Collyer Quay,Singapore,Singapore,049315,Singapore,"$231,308",9031,,www.trafigura.com,Jeremy Weir
19,20,Hon Hai Precision Industry,"Electronics, Electrical Equip.",66 Zhongshan Rd.,New Taipei City,Taiwan,00236,Taiwan,"$214,619",826608,HNHPF,www.foxconn.com,
20,21,AmerisourceBergen,Wholesalers: Health Care,1 West First Ave.,Conshohocken,Pennsylvania,19428,U.S.,"$213,989",40000,ABC,www.amerisourcebergen.com,Steven H. Collis
21,22,Industrial & Commercial Bank of China,Banks: Commercial and Savings,55 Fuxingmennei Ave.,Beijing,China,100140,China,"$209,000",434089,IDCBY,www.icbc-ltd.com,Gu Shu
22,23,Glencore,"Mining, Crude-Oil Production",Baarermattstrasse 3,Baar,Switzerland,06340,Switzerland,"$203,751",81284,GLNCY,www.glencore.com,Ivan Glasenberg
23,24,China Construction Bank,Banks: Commercial and Savings,25 Finance St.,Beijing,China,100033,China,"$200,434",375531,CICHY,www.ccb.com,Tian Guoli
24,25,Ping An Insurance,"Insurance: Life, Health (Stock)",5033 Yitian Rd.,Shenzhen,China,518033,China,"$199,629",355982,PNGAY,www.group.pingan.com,Xie Yonglin
25,26,Costco Wholesale,General Merchandisers,999 Lake Dr.,Issaquah,Washington,98027,U.S.,"$195,929",288000,COST,www.costco.com,W. Craig Jelinek
26,27,TotalEnergies,Petroleum Refining,2 Place Jean Millier,Courbevoie,France,92400,France,"$184,634",101309,TTE,www.totalenergies.com,Patrick Pouyanne
27,28,Agricultural Bank of China,Banks: Commercial and Savings,69 Jianguomen Nei Ave.,Beijing,China,100005,China,"$181,412",455174,ACGBY,www.abchina.com,Qingsong Zhang
28,29,Stellantis,Motor Vehicles & Parts,Taurusavenue 1,Hoofddorp,Netherlands,02132,Netherlands,"$176,663",281595,STLA,www.stellantis.com,Carlos Tavares
29,30,Cigna,Health Care: Pharmacy and Other Services,900 Cottage Grove Rd.,Bloomfield,Connecticut,06002,U.S.,"$174,078",72963,CI,www.cigna.com,David M. Cordani
30,31,Sinochem Holdings,Chemicals,28 Fuxingmennei St.,Beijing,China,100031,China,"$172,260",220760,,www.sinochem.com,Ning Gaoning
31,32,AT&T,Telecommunications,208 S. Akard St.,Dallas,Texas,75202,U.S.,"$168,864",202600,T,www.att.com,John T. Stankey
32,33,Microsoft,Computer Software,1 Microsoft Way,Redmond,Washington,98052,U.S.,"$168,088",181000,MSFT,www.microsoft.com,Satya Nadella
33,34,China Railway Engineering Group,Engineering & Construction,128 Nansihuan W. Rd.,Beijing,China,100160,China,"$166,452",310817,,www.crecg.com,Chen Wenjian
34,35,BP,Petroleum Refining,1 St. James's Sq.,London,Britain,SW1Y 4PD,Britain,"$164,195",65900,BP,www.bp.com,Bernard Looney
35,36,Cardinal Health,Wholesalers: Health Care,7000 Cardinal Place,Dublin,Ohio,43017,U.S.,"$162,467",46827,CAH,www.cardinalhealth.com,Mike Kaufmann
36,37,Chevron,Petroleum Refining,6001 Bollinger Canyon Rd.,San Ramon,California,94583,U.S.,"$162,465",42595,CVX,www.chevron.com,Michael K. Wirth
37,38,Mercedes-Benz Group,Motor Vehicles & Parts,Mercedesstrasse 120,Stuttgart,Germany,70372,Germany,"$158,306",172425,DMLRY,group.mercedes-benz.com,Ola Källenius
38,39,China Railway Construction,Engineering & Construction,40 Fuxing Rd.,Beijing,China,100855,China,"$158,203",366833,,www.crcc.cn,
39,40,China Life Insurance,"Insurance: Life, Health (Stock)",17 Financial St.,Beijing,China,100033,China,"$157,095",182646,,www.chinalife.com.cn,Dairen Lin
40,41,Mitsubishi,Trading,2-3-1 Marunouchi,Tokyo,Japan,100-8086,Japan,"$153,690",80728,MSBHF,www.mitsubishicorp.com,Takehiko Kakiuchi
41,42,Bank of China,Banks: Commercial and Savings,1 Fuxingmen Nei Ave.,Beijing,China,100818,China,"$152,409",306322,BACHY,www.boc.cn,Chen Siqing
42,43,Home Depot,Specialty Retailers,2455 Paces Ferry Rd.,Atlanta,Georgia,30339,U.S.,"$151,157",490600,HD,www.homedepot.com,Edward P. Decker
43,44,China Baowu Steel Group,Metals,1859 Shibo Ave.,Shanghai,China,200126,China,"$150,730",230884,,www.baowugroup.com,Chen Derong
44,45,Walgreens Boots Alliance,Food & Drug Stores,108 Wilmot Rd.,Deerfield,Illinois,60015,U.S.,"$148,579",258500,WBA,www.walgreensbootsalliance.com,Roz Brewer
45,46,JD.com,Internet Services and Retailing,18 Kechuang 11 St.,Beijing,China,101111,China,"$147,526",385357,JD,www.jd.com,Richard Qiangdong Liu
46,47,Allianz,"Insurance: Life, Health (Stock)",Königinstrasse 28,Munich,Germany,80802,Germany,"$144,517",155411,ALIZY,www.allianz.com,Oliver Bate
47,48,AXA,"Insurance: Life, Health (Stock)",25 Ave. Matignon,Paris,France,75008,France,"$144,447",92398,AXAHY,www.axa.com,Thomas Buberl
48,49,Marathon Petroleum,Petroleum Refining,539 S. Main St.,Findlay,Ohio,45840,U.S.,"$141,032",17700,MPC,www.marathonpetroleum.com,Michael J. Hennigan
49,50,Elevance Health,Health Care: Insurance and Managed Care,220 Virginia Ave.,Indianapolis,Indiana,46204,U.S.,"$138,639",98200,ELV,www.elevancehealth.com,Gail K. Boudreaux
50,51,Kroger,Food & Drug Stores,1014 Vine St.,Cincinnati,Ohio,45202,U.S.,"$137,888",420000,KR,www.thekrogerco.com,W. Rodney Mcmullen
51,52,Gazprom,Energy,16 Nametkina St.,Moscow,Russia,117997,Russia,"$137,732",468000,,www.gazprom.com,Alexey B. Miller
52,53,Ford Motor,Motor Vehicles & Parts,1 American Rd.,Dearborn,Michigan,48126,U.S.,"$136,341",183000,F,www.ford.com,
53,54,Verizon Communications,Telecommunications,1095 Ave. of the Americas,New York,New York,10036,U.S.,"$133,613",118400,VZ,www.verizon.com,Hans E. Vestberg
54,55,Alibaba Group Holding,Internet Services and Retailing,969 Wenyixi Rd.,Hangzhou,China,311121,China,"$132,936",254941,BABA,www.alibabagroup.com,Daniel Zhang
55,56,Fortum,Energy,Keilalahdentie 2-4,Espoo,Finland,02150,Finland,"$132,894",19140,,www.fortum.com,Markus Rauramo
56,57,China Mobile Communications,Telecommunications,29 Jinrong Ave.,Beijing,China,100033,China,"$131,913",451331,,www.10086.cn,Li Yue
57,58,China Minmetals,Metals,5 Sanlihe Rd.,Beijing,China,100044,China,"$131,800",193965,,www.minmetals.com,Tang Fuping
58,59,BMW Group,Motor Vehicles & Parts,Petuelring 130,Munich,Germany,80788,Germany,"$131,522",118909,BMWYY,www.bmwgroup.com,Oliver Zipse
59,60,China Communications Construction,Engineering & Construction,85 Deshengmenwai St.,Beijing,China,100088,China,"$130,664",220519,,www.ccccltd.cn,Tongzhou Wang
60,61,Honda Motor,Motor Vehicles & Parts,2-1-1 Minami-Aoyama,Tokyo,Japan,107-8556,Japan,"$129,547",204035,HMC,www.global.honda/,Takahiro Hachigo
61,62,Deutsche Telekom,Telecommunications,Friedrich Ebert Allee 140,Bonn,Germany,53113,Germany,"$128,631",216528,DTEGY,www.telekom.com,Timotheus Hottges
62,63,JPMorgan Chase,Banks: Commercial and Savings,383 Madison Ave.,New York,New York,10179,U.S.,"$127,202",271025,JPM,www.jpmorganchase.com,Jamie Dimon
63,64,General Motors,Motor Vehicles & Parts,300 Renaissance Center,Detroit,Michigan,48265,U.S.,"$127,004",157000,GM,www.gm.com,Mary T. Barra
64,65,China National Offshore Oil,"Mining, Crude-Oil Production",25 Chaoyangmenbei Dajie,Beijing,China,100010,China,"$126,920",80957,,www.cnooc.com.cn,
65,66,Centene,Health Care: Insurance and Managed Care,7700 Forsyth Blvd.,St. Louis,Missouri,63105,U.S.,"$125,982",72500,CNC,www.centene.com,Michael Neidorff
66,67,Lukoil,Petroleum Refining,11 Sretensky Blvd.,Moscow,Russia,101000,Russia,"$125,135",102424,,www.lukoil.com,Vagit Y. Alekperov
67,68,SAIC Motor,Motor Vehicles & Parts,489 Weihai Rd.,Shanghai,China,200041,China,"$120,900",146145,,www.saicmotor.com,Wang Xiaoqiu
68,69,Shandong Energy Group,"Mining, Crude-Oil Production",10777 Jingshi Rd.,Jinan,China,250014,China,"$120,012",243124,,www.shandong-energy.com,Li Weimin
69,70,China Resources,Pharmaceuticals,26 Harbour Rd.,Hong Kong,China,00000,China,"$119,601",362706,,www.crc.com.hk,
70,71,Meta Platforms,Internet Services and Retailing,1601 Willow Rd.,Menlo Park,California,94025,U.S.,"$117,929",71970,META,www.fb.com,Mark Zuckerberg
71,72,Assicurazioni Generali,"Insurance: Life, Health (Stock)",Piazza Duca degli Abruzzi 2,Trieste,Italy,34132,Italy,"$117,155",74621,ARZGY,www.generali.com,Philippe Donnet
72,73,Comcast,Telecommunications,1 Comcast Center,Philadelphia,Pennsylvania,19103,U.S.,"$116,385",189000,CMCSA,www.comcastcorporation.com,Brian L. Roberts
73,74,Phillips 66,Petroleum Refining,2331 CityWest Blvd.,Houston,Texas,77042,U.S.,"$114,852",14000,PSX,www.phillips66.com,Greg C. Garland
74,75,Hengli Group,Textiles,1 Hengli Rd.,Suzhou City,China,215226,China,"$113,536",121430,,www.hengli.com,Chen Jianhua
75,76,Amer International Group,Metals,7888 Shennan Blvd.,Shenzhen,China,518040,China,"$112,049",22398,,www.amer.com.cn,
76,77,Xiamen C&D,Trading,1699 Huandao E. Rd.,Xiamen,China,361008,China,"$111,557",36334,,www.chinacdc.com,
77,78,Itochu,Trading,3-1-3 Umeda,Osaka,Japan,530-8448,Japan,"$109,434",136722,ITOCY,www.itochu.co.jp,Masahiro Okafuji
78,79,China FAW Group,Motor Vehicles & Parts,1 HongQi St.,Changchun,China,130013,China,"$109,405",118648,,www.faw.com.cn,
79,80,Sinopharm,Pharmaceuticals,20 Zhichun Rd.,Beijing,China,100191,China,"$108,779",201092,,www.sinopharm.com,Liu Jingzhen
80,81,China Post Group,"Mail, Package and Freight Delivery",3 Financial St.,Beijing,China,100808,China,"$108,669",748920,,www.chinapost.com.cn,
81,82,Valero Energy,Petroleum Refining,1 Valero Way,San Antonio,Texas,78249,U.S.,"$108,332",9804,VLO,www.valero.com,Joseph W. Gorder
82,83,Nippon Telegraph and Telephone,Telecommunications,1-5-1 Ohtemachi,Tokyo,Japan,100-8116,Japan,"$108,216",333840,NTTYY,www.group.ntt,
83,84,Crédit Agricole,Banks: Commercial and Savings,12 Place des États-Unis,Montrouge,France,92127,France,"$107,695",75711,CRARY,www.credit-agricole.com,Philippe Brassac
84,85,China Energy Investment,"Mining, Crude-Oil Production",22 Andingmen Xibinhelu Rd,Beijing,China,100011,China,"$107,095",317168,,www.ceic.com,Xiangxi Wang
85,86,Dell Technologies,"Computers, Office Equipment",1 Dell Way,Round Rock,Texas,78682,U.S.,"$106,995",133000,DELL,www.delltechnologies.com,Michael S. Dell
86,87,Target,General Merchandisers,1000 Nicollet Mall,Minneapolis,Minnesota,55403,U.S.,"$106,005",450000,TGT,www.target.com,Brian C. Cornell
87,88,Mitsui,Trading,1-2-1 Ohtemachi,Tokyo,Japan,100-8631,Japan,"$104,665",44336,MITSY,www.mitsui.com,Tatsuo Yasunaga
88,89,China Southern Power Grid,Utilities,11 Kexiang Rd.,Guangzhou,China,510530,China,"$104,119",282006,,www.csg.cn,Meng Zhenping
89,90,Enel,Utilities,Viale Regina Margherita 137,Rome,Italy,00198,Italy,"$104,052",66279,ENLAY,www.enel.com,Francesco Starace
90,91,COFCO,Trading,8 Chao Yang Men S. St.,Beijing,China,100020,China,"$103,087",107829,,www.cofco.com,Jun Lyu
91,92,Hyundai Motor,Motor Vehicles & Parts,12 Heolleung-ro,Seoul,South Korea,06797,South Korea,"$102,775",121403,HYMTF,worldwide.hyundai.com,Euisun Chung
92,93,Fannie Mae,Diversified Financials,1100 15th St. N.W.,Washington,District Of Columbia,20005,U.S.,"$101,543",7400,FNMA,www.fanniemae.com,David Benson
93,94,Japan Post Holdings,"Insurance: Life, Health (Stock)",2-3-1 Ohtemachi,Tokyo,Japan,100-8791,Japan,"$100,278",232112,,www.japanpost.jp,Hiroya Masuda
94,95,Electricité de France,Utilities,22-30 Ave.de Wagram,Paris,France,75008,France,"$99,861",163423,ECIFY,www.edf.fr,Jean-Bernard Levy
95,96,Huawei Investment & Holding,Network & Other Communications Equipment,Huawei Industrial Base,Shenzhen,China,518129,China,"$98,725",195000,,www.huawei.com,Ma Qianli
96,97,United Parcel Service,"Mail, Package and Freight Delivery",55 Glenlake Pkwy. N.E.,Atlanta,Georgia,30328,U.S.,"$97,287",400945,UPS,www.ups.com,Carol B. Tome
97,98,Life Insurance Corp. of India,"Insurance: Life, Health (Stock)",Yogakshema,Mumbai,India,400021,India,"$97,267",105738,,www.licindia.in,Raj Kumar
98,99,Deutsche Post DHL Group,"Mail, Package and Freight Delivery",Charles de Gaulle Str. 20,Bonn,Germany,53113,Germany,"$96,652",548042,DPSGY,www.dpdhl.com,Frank Appel
99,100,PowerChina,Engineering & Construction,22 Chegongzhuang W. Rd.,Beijing,China,100048,China,"$96,422",181330,,www.powerchina.cn,Yan Zhiyong
100,101,Lowe's,Specialty Retailers,1000 Lowe's Blvd.,Mooresville,North Carolina,28117,U.S.,"$96,250",270000,LOW,www.lowes.com,Marvin R. Ellison
101,102,CITIC Group,Diversified Financials,10 Guanghualu,Beijing,China,100020,China,"$96,126",148108,,www.group.citic,Zhu Hexin
102,103,Nestlé,Food Consumer Products,55 Ave. Nestlé,Vevey,Switzerland,01800,Switzerland,"$95,293",276000,NSRGY,www.nestle.com,Ulf Mark Schneider
103,104,Reliance Industries,Petroleum Refining,222 Nariman Point,Mumbai,India,400021,India,"$93,982",342982,,www.ril.com,
104,105,Bank of America,Banks: Commercial and Savings,100 N. Tryon St.,Charlotte,North Carolina,28255,U.S.,"$93,851",208248,BAC,www.bankofamerica.com,
105,106,Xiamen ITG Holding Group,Trading,4688 Xianyue Rd.,Xiamen,China,361013,China,"$93,791",28977,,www.itgholding.com.cn,He Frank
106,107,Johnson & Johnson,Pharmaceuticals,1 Johnson & Johnson Plaza,New Brunswick,New Jersey,08933,U.S.,"$93,775",141700,JNJ,www.jnj.com,
107,108,Bosch Group,Motor Vehicles & Parts,Robert Bosch Platz 1,Gerlingen-Schillerhöhe,Germany,70839,Germany,"$93,106",402614,,www.bosch.com,Volkmar Denner
108,109,BASF,Chemicals,Carl Bosch Str. 38,Ludwigshafen,Germany,67056,Germany,"$92,929",111047,BASFY,www.basf.com,Martin Brudermueller
109,110,People's Insurance Co. of China,Insurance: Property and Casualty (Stock),88 West Chang'an Ave.,Beijing,China,100031,China,"$92,182",184364,,www.picc.com.cn,Miao Jianmin
110,111,ENI,Petroleum Refining,Piazzale Enrico Mattei 1,Rome,Italy,00145,Italy,"$91,951",32689,E,www.eni.com,Claudio Descalzi
111,112,E.ON,Energy,Brüsseler Platz 1,Essen,Germany,45131,Germany,"$91,463",69733,EONGY,www.eon.com,Andreas Kupper
112,113,Hitachi,"Electronics, Electrical Equip.",1-6-6 Marunouchi,Tokyo,Japan,100-8280,Japan,"$91,375",368247,HTHIY,www.hitachi.com,Toshiaki Higashihara
113,114,Equinor,Petroleum Refining,Forusbeen 50,Stavanger,Norway,04035,Norway,"$90,924",21126,EQNR,www.equinor.com,Anders Opedal
114,115,Royal Ahold Delhaize,Food & Drug Stores,Provincialeweg 11,Zaandam,Netherlands,01506,Netherlands,"$89,386",259000,ADRNY,www.aholddelhaize.com,Frans Muller
115,116,Sony,"Electronics, Electrical Equip.",1-7-1 Konan,Tokyo,Japan,108-0075,Japan,"$88,321",108900,SONY,www.sony.net,Kenichiro Yoshida
116,117,SK,Petroleum Refining,26 Jongro,Seoul,South Korea,03188,South Korea,"$88,081",117438,,www.sk.co.kr,Dong-Hyun Jang
117,118,Rosneft Oil,Petroleum Refining,26/1 Sofiyskaya Embankment,Moscow,Russia,117997,Russia,"$87,832",356000,OJSCY,www.rosneft.com,Igor Sechin
118,119,Carrefour,Food & Drug Stores,93 Ave.de Paris,Massy,France,91300,France,"$87,831",319565,CRRFY,www.carrefour.com,Alexandre Bompard
119,120,Wuchan Zhongda Group,Trading,56 W. Huancheng Rd.,Hangzhou,China,310006,China,"$87,211",21012,,www.wzgroup.cn,Wang Tingge
120,121,Tencent Holdings,Internet Services and Retailing,Tencent Binhai Towers,Shenzhen,China,518054,China,"$86,836",112771,TCEHY,www.tencent.com,
121,122,Dongfeng Motor,Motor Vehicles & Parts,1 Dongfeng Rd.,Wuhan,China,430056,China,"$86,122",141681,,www.dfmc.com.cn,Yanfeng Zhu
122,123,BNP Paribas,Banks: Commercial and Savings,16 Blvd. des Italiens,Paris,France,75009,France,"$85,301",189765,BNPQY,www.group.bnpparibas,Jean-Laurent Bonnafe
123,124,Archer Daniels Midland,Food Production,77 W. Wacker Dr.,Chicago,Illinois,60601,U.S.,"$85,249",39979,ADM,www.adm.com,Juan R. Luciano
124,125,Greenland Holding Group,Real Estate,700 Dapu Rd.,Shanghai,China,200023,China,"$84,454",79999,,www.ldjt.com.cn,Zhang Yuliang
125,126,Tesco,Food & Drug Stores,Kestrel Way,Welwyn Garden City,Britain,AL7 1GA,Britain,"$84,192",231223,TSCDY,www.tescoplc.com,Murphy Ken
126,127,COSCO Shipping,Shipping,5299 Binjiang Dadao,Shanghai,China,200127,China,"$84,130",107551,,www.coscoshipping.com,Xu Lirong
127,128,Petrobras,Petroleum Refining,Av. República do Chile 65,Rio de Janeiro,Brazil,20031-912,Brazil,"$83,966",45532,PBR,www.petrobras.com.br,
128,129,FedEx,"Mail, Package and Freight Delivery",942 S. Shady Grove Rd.,Memphis,Tennessee,38120,U.S.,"$83,959",508650,FDX,www.fedex.com,Frederick W. Smith
129,130,Engie,Energy,1 Place Samuel de Champlain,Courbevoie,France,92400,France,"$83,622",171474,ENGIY,www.engie.com,Catherine Fiamma Macgregor
130,131,China Telecommunications,Telecommunications,31 Finance St.,Beijing,China,100033,China,"$83,596",394600,,www.chinatelecom.com.cn,Ruiwen Ke
131,132,Humana,Health Care: Insurance and Managed Care,500 W. Main St.,Louisville,Kentucky,40202,U.S.,"$83,064",95500,HUM,www.humana.com,Bruce D. Broussard
132,133,Munich Re Group,Insurance: Property and Casualty (Stock),Königinstrasse 107,Munich,Germany,80802,Germany,"$83,052",39281,MURGY,www.munichre.com,Joachim Wenning
133,134,Wells Fargo,Banks: Commercial and Savings,420 Montgomery St.,San Francisco,California,94104,U.S.,"$82,407",247848,WFC,www.wellsfargo.com,Charles W. Scharf
134,135,State Farm Insurance,Insurance: Property and Casualty (Mutual),1 State Farm Plaza,Bloomington,Illinois,61710,U.S.,"$82,225",53586,,www.statefarm.com,Michael L. Tipsord
135,136,China North Industries Group,Aerospace & Defense,44 Sanlihe St.,Beijing,China,100821,China,"$81,785",213957,,www.norincogroup.com.cn,Chao Wang
136,137,Pfizer,Pharmaceuticals,235 E. 42nd St.,New York,New York,10017,U.S.,"$81,288",79000,PFE,www.pfizer.com,Albert Bourla
137,138,Country Garden Holdings,Real Estate,1 Country Garden Rd.,Foshan,China,528312,China,"$81,091",100705,CTRYY,www.countrygarden.com.cn,Bin Mo
138,139,Aluminum Corp. of China,Metals,62 N. Xizhimen St.,Beijing,China,100082,China,"$80,407",138717,,www.chinalco.com.cn,Xiong Weiping
139,140,ENEOS Holdings,Petroleum Refining,1-1-2 Ohtemachi,Tokyo,Japan,100-8162,Japan,"$80,133",41852,JXHLY,www.hd.eneos.co.jp,
140,141,Citigroup,Banks: Commercial and Savings,388 Greenwich St.,New York,New York,10013,U.S.,"$79,865",221768,C,www.citigroup.com,Jane Fraser
141,142,Indian Oil,Petroleum Refining,3079/3 Sadiq Nagar,New Delhi,India,110049,India,"$79,542",32938,,www.iocl.com,Shrikant Madhav Vaidya
142,143,PepsiCo,Food Consumer Products,700 Anderson Hill Rd.,Purchase,New York,10577,U.S.,"$79,474",309000,PEP,www.pepsico.com,Ramon L. Laguarta
143,144,Aviation Industry Corp. of China,Aerospace & Defense,"Building 19, Compound A5, Shuguang Xili",Beijing,China,100028,China,"$79,332",380000,,www.avic.com,
144,145,Intel,Semiconductors & Other Electronic Components,2200 Mission College Blvd.,Santa Clara,California,95054,U.S.,"$79,024",121100,INTC,www.intel.com,Patrick P. Gelsinger
145,146,Banco Santander,Banks: Commercial and Savings,Av. De Cantabria,Madrid,Spain,28660,Spain,"$78,689",194479,SAN,www.santander.com,Jose Antonio Alvarez Alvarez
146,147,Seven & I Holdings,Specialty Retailers,8-8 Nibancho,Tokyo,Japan,102-8452,Japan,"$78,458",127196,SVNDY,www.7andi.com,
147,148,AEON,Food & Drug Stores,1-5-1 Nakase,Chiba,Japan,261-8515,Japan,"$78,155",288064,AONNY,www.aeon.info,
148,149,HSBC Holdings,Banks: Commercial and Savings,8 Canada Sq.,London,Britain,E14 5HQ,Britain,"$77,330",219697,HSBC,www.hsbc.com,Noel P. Quinn
149,150,Pacific Construction Group,Engineering & Construction,2288 SiPing Rd.,Urumqi,China,830001,China,"$77,073",310719,,www.cpcg.com.cn,Yan Hao
150,151,U.S. Postal Service,"Mail, Package and Freight Delivery",475 L'Enfant Plaza S.W.,Washington,District Of Columbia,20260,U.S.,"$77,041",584902,,www.usps.com,Louis Dejoy
151,152,China Merchants Group,"Mail, Package and Freight Delivery",168-200 Connaught Rd.,Hong Kong,China,00000,China,"$76,767",264161,,www.cmhk.com,Miao Jianmin
152,153,ArcelorMittal,Metals,24-26 Blvd. d’Avranches,Luxembourg,Luxembourg,01160,Luxembourg,"$76,571",157909,MT,www.arcelormittal.com,Lakshmi Mittal
153,154,Procter & Gamble,Household and Personal Products,1 Procter & Gamble Plaza,Cincinnati,Ohio,45202,U.S.,"$76,118",101000,PG,www.pg.com,Jon R. Moeller
154,155,Bank of Communications,Banks: Commercial and Savings,188 Yincheng Zhong Rd.,Shanghai,China,200120,China,"$75,986",90238,BCMXY,www.bankcomm.com,Deqi Ren
155,156,Christian Dior,Apparel,30 Ave. Montaigne,Paris,France,75008,France,"$75,924",162254,CHDRY,www.dior-finance.com,Sidney Toledano
156,157,Marubeni,Trading,1-4-2 Ohtemachi,Tokyo,Japan,100-8088,Japan,"$75,743",49623,MARUY,www.marubeni.com,Masumi Kakinoki
157,158,Brookfield Asset Management,Diversified Financials,181 Bay St.,"Toronto, Ontario",Canada,M5J 2T3,Canada,"$75,731",181000,BAM,www.brookfield.com,Bruce Flatt
158,159,Siemens,Industrial Machinery,Werne von Siemens Strasse 1,Munich,Germany,80333,Germany,"$75,516",303000,SIEGY,www.siemens.com,
159,160,XMXYG,Trading,99 Xiangyu Rd.,Xiamen,China,361006,China,"$75,094",14372,,www.xiangyu-group.com,Zhang Shuili
160,161,Nissan Motor,Motor Vehicles & Parts,1-1-1 Takashima,Yokohama,Japan,220-8686,Japan,"$74,995",141983,NSANY,www.nissan-global.com,Makoto Uchida
161,162,Beijing Automotive Group,Motor Vehicles & Parts,99 Shuanghe St.,Beijing,China,101300,China,"$74,687",100000,,www.baicgroup.com.cn,Xu Heyi
162,163,Jinneng Holding Group,"Mining, Crude-Oil Production",Taihe Rd.,Datong,China,037006,China,"$74,588",506364,,www.dtcoalmine.com,
163,164,Nippon Life Insurance,"Insurance: Life, Health (Mutual)",3-5-12 Imabashi,Osaka,Japan,541-8501,Japan,"$74,392",92737,,www.nissay.co.jp,Hiroshi Shimizu
164,165,General Electric,Industrial Machinery,5 Necco St.,Boston,Massachusetts,02210,U.S.,"$74,196",168000,GE,www.ge.com,H. Lawrence Culp Jr.
165,166,Pemex,"Mining, Crude-Oil Production",Av. Marina Nacional 329,Mexico City,Mexico,11300,Mexico,"$73,761",123842,,www.pemex.com,Octavio Romero Oropeza
166,167,Dai-ichi Life Holdings,"Insurance: Life, Health (Stock)",1-13-1 Yurakucho,Tokyo,Japan,100-8411,Japan,"$73,082",62296,DLICY,www.dai-ichi-life-hd.com,Takashi Fujii
167,168,International Business Machines,Information Technology Services,1 New Orchard Rd.,Armonk,New York,10504,U.S.,"$72,344",297800,IBM,www.ibm.com,Arvind Krishna
168,169,Roche Group,Pharmaceuticals,Grenzacherstrasse 124,Basel,Switzerland,04070,Switzerland,"$72,054",100920,RHHBY,www.roche.com,Thomas Schinecker
169,170,Albertsons,Food & Drug Stores,250 Parkcenter Blvd.,Boise,Idaho,83706,U.S.,"$71,887",195750,ACI,www.albertsonscompanies.com,Vivek Sankaran
170,171,Lenovo Group,"Computers, Office Equipment",979 King's Rd.,Hong Kong,China,00000,China,"$71,618",75000,LNVGY,www.lenovo.com,
